,이름,포지션,출전,클린시트,실점,태클 횟수,태클 성공률,슛 블록 횟수,인터셉트 횟수,걷어내기 횟수,해딩 걷어내기 횟수,라인 밖으로 걷어내기 횟수,볼 소유권 가져오기 횟수,경합 승리,경합 실패,공중볼 경합 승리,공중볼 경합 패배,자책골,실점으로 이어진 실책,어시스트,패스 횟수,경기당 평균 패스 횟수,결정적 기회 창출 횟수,크로스 횟수,크로스 성공률,스루패스 횟수,긴 패스 성공률,경고,퇴장,반칙,옵사이드,골,해딩 골,오른발 골,왼발 골,골포스트,경기당 골,페널티킥 골,프리킥 골,슈팅 횟수,유효 수팅,슈팅 성공률,결정적 찬스 놓친 횟수,선방,페널티킥 선방,펀칭,공중볼 처리,캐칭,던지기 횟수,골킥
542,Lucas Moura ,공격수,35,,,57,,21,15,25,18,,,,,,,,,4,773,22.09,6,21,,,,3,0,30,5,4,1,2,1,0,0.11,0,0,56,14,25%,6,,,,,,,
543,Lucas Perri ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
544,Lucas Piazon ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
545,Romelu Lukaku ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
546,Dodi Luk챕bakio ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
547,John Lundstram ,미드필더,34,,,46,65%,10,33,43,22,,157,99,136,24,33,,0,3,"1,176",34.59,8,55,18%,3,86,5,0,27,7,5,0,4,1,1,0.15,0,0,43,10,23%,4,,,,,,,
548,Brooklyn Lyons-Foster ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
549,Ian Maatsen ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
550,Alexis Mac Allister ,미드필더,9,,,9,56%,3,1,1,0,,15,17,22,3,5,,0,0,98,10.89,0,23,13%,0,2,0,0,4,1,0,0,0,0,0,0,0,0,7,1,14%,1,,,,,,,
551,Matt Macey ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
552,James Maddison ,미드필더,31,,,59,51%,30,9,5,1,,162,205,162,7,24,,0,3,"1,473",47.52,8,221,27%,19,72,4,0,36,4,6,0,4,2,1,0.19,0,1,74,18,24%,6,,,,,,,
553,Jacob Maddox ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
